humidity,temp
67.70,24.10
67.70,24.10
68.40,24.10
68.40,24.10
68.20,24.10
68.20,24.10
68.70,24.10
68.70,24.10
68.20,24.10
68.20,24.10
68.00,24.00
68.00,24.00
67.90,24.10
67.90,24.10
67.80,24.00
67.20,24.10
67.20,24.10
67.20,24.10
67.00,24.10
67.00,24.10
67.00,24.10
67.00,24.10
67.40,24.10
67.40,24.10
67.80,24.10
67.80,24.10
67.70,24.10
67.70,24.10
67.70,24.10
67.70,24.10
67.60,24.10
67.60,24.10
67.60,24.10
67.60,24.10
67.60,24.10
67.60,24.10
67.60,24.10
67.60,24.10
67.50,24.10
67.50,24.10
67.40,24.10
67.40,24.10
67.60,24.00
67.60,24.00
67.50,24.00
67.50,24.00
67.50,24.10
67.50,24.10
67.60,24.00
67.60,24.00
68.80,24.00
68.80,24.00
68.60,24.10
68.60,24.10
69.10,24.10
69.10,24.10
68.80,24.10
68.80,24.10
68.20,24.10
68.20,24.10
67.80,24.10
67.80,24.10
67.50,24.10
67.50,24.10
67.50,24.10
67.50,24.10
67.50,24.10
67.50,24.10
68.20,24.10
68.20,24.10
68.00,24.10
68.00,24.10
67.80,24.00
67.80,24.00
68.60,24.10
68.60,24.10
68.90,24.00
68.90,24.00
69.10,24.10
69.10,24.10
69.50,24.00
69.50,24.00
68.90,24.00
68.90,24.00
68.40,24.10
68.40,24.10
68.10,24.10
68.10,24.10
67.90,24.10
67.90,24.10
67.90,24.00
67.90,24.00
67.80,24.10
67.80,24.10
67.80,24.10
67.80,24.10
67.80,24.10
67.80,24.10
67.70,24.10
67.70,24.10
67.70,24.10
67.70,24.10
67.60,24.10
